# 2theta, Intensity
2.089999999999976765e+01,2.667459971558976051e+01
2.091999999999976723e+01,2.278168850117537403e+01
2.093999999999976680e+01,1.971084576533963428e+01
2.095999999999976637e+01,1.724295163230480910e+01
2.097999999999976595e+01,1.522791746104568844e+01
2.099999999999976552e+01,1.356011815683778110e+01
2.101999999999976509e+01,1.216337723194202169e+01
2.103999999999976467e+01,1.098155779484666184e+01
2.105999999999976424e+01,9.972500342983202870e+00
2.107999999999976382e+01,9.104010905572598844e+00
2.109999999999976339e+01,8.351140348230453370e+00
2.111999999999976296e+01,7.694298380800606907e+00
2.113999999999976254e+01,7.117920295208791437e+00
2.115999999999976211e+01,6.609507736040506565e+00
2.117999999999976168e+01,6.158927571304005255e+00
2.119999999999976126e+01,5.757892033075202143e+00
2.121999999999976083e+01,5.399568219529871094e+00
2.123999999999976040e+01,5.078281267424898715e+00
2.125999999999975998e+01,4.789286259487288255e+00
2.127999999999975955e+01,4.528591188789507171e+00
2.129999999999975913e+01,4.292818277977131558e+00
2.131999999999975870e+01,4.079094412800532865e+00
2.133999999999975827e+01,3.884963890268648523e+00
2.135999999999975785e+01,3.708318424488194598e+00
2.137999999999975742e+01,3.547340612055425169e+00
2.139999999999975699e+01,3.400457977986733216e+00
2.141999999999975657e+01,3.266305401075956905e+00
2.143999999999975614e+01,3.143694222305322583e+00
2.145999999999975572e+01,3.031586719100195282e+00
2.147999999999975529e+01,2.929074915444193294e+00
2.149999999999975486e+01,2.835362917186038612e+00
2.151999999999975444e+01,2.749752130597703292e+00
2.153999999999975401e+01,2.671628852993375158e+00
2.155999999999975358e+01,2.600453826245950228e+00
2.157999999999975316e+01,2.535753424192745076e+00
2.159999999999975273e+01,2.477112208316134545e+00
