# 2theta, Intensity
1.403999999999991388e+01,1.483691216613327105e-02
1.405999999999991346e+01,1.492727115144582874e-02
1.407999999999991303e+01,1.501880122310741972e-02
1.409999999999991260e+01,1.511152471334100376e-02
1.411999999999991218e+01,1.520546450060207035e-02
1.413999999999991175e+01,1.530064402576504848e-02
1.415999999999991132e+01,1.539708730887263434e-02
1.417999999999991090e+01,1.549481896647069909e-02
1.419999999999991047e+01,1.559386422955211064e-02
1.421999999999991005e+01,1.569424896213419615e-02
1.423999999999990962e+01,1.579599968049546013e-02
1.425999999999990919e+01,1.589914357309854184e-02
1.427999999999990877e+01,1.600370852122733750e-02
1.429999999999990834e+01,1.610972312036798235e-02
1.431999999999990791e+01,1.621721670236433641e-02
1.433999999999990749e+01,1.632621935838013752e-02
1.435999999999990706e+01,1.643676196270183257e-02
1.437999999999990663e+01,1.654887619741711099e-02
1.439999999999990621e+01,1.666259457800655167e-02
1.441999999999990578e+01,1.677795047988691821e-02
1.443999999999990536e+01,1.689497816594680638e-02
1.445999999999990493e+01,1.701371281511746686e-02
1.447999999999990450e+01,1.713419055202335811e-02
1.449999999999990408e+01,1.725644847775933965e-02
1.451999999999990365e+01,1.738052470184385176e-02
1.453999999999990322e+01,1.750645837539952995e-02
1.455999999999990280e+01,1.763428972561562405e-02
1.457999999999990237e+01,1.776406009154902349e-02
1.459999999999990195e+01,1.789581196132376470e-02
1.461999999999990152e+01,1.802958901079167522e-02
1.463999999999990109e+01,1.816543614372032739e-02
1.465999999999990067e+01,1.830339953357749613e-02
1.467999999999990024e+01,1.844352666698502799e-02
1.469999999999989981e+01,1.858586638891904577e-02
1.471999999999989939e+01,1.873046894973685872e-02
1.473999999999989896e+01,1.887738605411567669e-02
1.475999999999989853e+01,1.902667091199240421e-02
1.477999999999989811e+01,1.917837829159861271e-02
1.479999999999989768e+01,1.933256457468986514e-02
1.481999999999989726e+01,1.948928781407362545e-02
1.483999999999989683e+01,1.964860779354585946e-02
1.485999999999989640e+01,1.981058609035244930e-02
1.487999999999989598e+01,1.997528614029745603e-02
1.489999999999989555e+01,2.014277330562741844e-02
1.491999999999989512e+01,2.031311494582777044e-02
1.493999999999989470e+01,2.048638049147514378e-02
1.495999999999989427e+01,2.066264152129701145e-02
1.497999999999989384e+01,2.084197184259927588e-02
1.499999999999989342e+01,2.102444757523083685e-02
1.501999999999989299e+01,2.121014723926413145e-02
1.503999999999989257e+01,2.139915184658100836e-02
1.505999999999989214e+01,2.159154499656368298e-02
1.507999999999989171e+01,2.178741297610298916e-02
1.509999999999989129e+01,2.198684486414744302e-02
1.511999999999989086e+01,2.218993264103081078e-02
1.513999999999989043e+01,2.239677130282931652e-02
1.515999999999989001e+01,2.260745898101457901e-02
1.517999999999988958e+01,2.282209706768487459e-02
1.519999999999988916e+01,2.304079034667355641e-02
1.521999999999988873e+01,2.326364713085238983e-02
1.523999999999988830e+01,2.349077940596661432e-02
1.525999999999988788e+01,2.372230298135915780e-02
1.527999999999988745e+01,2.395833764796412996e-02
1.529999999999988702e+01,2.419900734397282052e-02
1.531999999999988660e+01,2.444444032860133148e-02
1.533999999999988617e+01,2.469476936441588472e-02
1.535999999999988574e+01,2.495013190870083719e-02
1.537999999999988532e+01,2.521067031438593842e-02
1.539999999999988489e+01,2.547653204108264388e-02
1.541999999999988447e+01,2.574786987681478359e-02
1.543999999999988404e+01,2.602484217106804110e-02
1.545999999999988361e+01,2.630761307982319719e-02
1.547999999999988319e+01,2.659635282328318140e-02
1.549999999999988276e+01,2.689123795705089526e-02
1.551999999999988233e+01,2.719245165756673660e-02
1.553999999999988191e+01,2.750018402266891926e-02
1.555999999999988148e+01,2.781463238820013756e-02
1.557999999999988106e+01,2.813600166164701571e-02
1.559999999999988063e+01,2.846450467386802546e-02
1.561999999999988020e+01,2.880036255003991241e-02
1.563999999999987978e+01,2.914380510103223645e-02
1.565999999999987935e+01,2.949507123650641285e-02
1.567999999999987892e+01,2.985440940112898955e-02
1.569999999999987850e+01,3.022207803538921878e-02
1.571999999999987807e+01,3.059834606262057041e-02
1.573999999999987764e+01,3.098349340394348020e-02
1.575999999999987722e+01,3.137781152297446086e-02
1.577999999999987679e+01,3.178160400228486476e-02
1.579999999999987637e+01,3.219518715374281720e-02
1.581999999999987594e+01,3.261889066503435852e-02
1.583999999999987551e+01,3.305305828483652564e-02
1.585999999999987509e+01,3.349804854930662351e-02
1.587999999999987466e+01,3.395423555276107924e-02
1.589999999999987423e+01,3.442200976564310094e-02
1.591999999999987381e+01,3.490177890312642917e-02
1.593999999999987338e+01,3.539396884797013643e-02
1.595999999999987295e+01,3.589902463153350071e-02
1.597999999999987253e+01,3.641741147717948712e-02
1.599999999999987210e+01,3.694961591064394729e-02
1.601999999999987168e+01,3.749614694233079776e-02
1.603999999999987125e+01,3.805753732690793367e-02
1.605999999999987082e+01,3.863434490603836341e-02
1.607999999999987040e+01,3.922715404057787458e-02
1.609999999999986997e+01,3.983657713912158727e-02
1.611999999999986954e+01,4.046325629038088206e-02
1.613999999999986912e+01,4.110786500753378647e-02
1.615999999999986869e+01,4.177111009341749615e-02
1.617999999999986827e+01,4.245373363623010377e-02
1.619999999999986784e+01,4.315651514628740526e-02
1.621999999999986741e+01,4.388027384535034270e-02
1.623999999999986699e+01,4.462587112110692755e-02
1.625999999999986656e+01,4.539421316057297429e-02
1.627999999999986613e+01,4.618625377748109689e-02
1.629999999999986571e+01,4.700299745017062075e-02
1.631999999999986528e+01,4.784550258809023432e-02
1.633999999999986485e+01,4.871488504679879344e-02
1.635999999999986443e+01,4.961232191331707564e-02
1.637999999999986400e+01,5.053905558587114266e-02
1.639999999999986358e+01,5.149639817450069740e-02
1.641999999999986315e+01,5.248573625171661788e-02
1.643999999999986272e+01,5.350853598541299022e-02
1.645999999999986230e+01,5.456634868961395685e-02
1.647999999999986187e+01,5.566081683240711730e-02
1.649999999999986144e+01,5.679368054463641152e-02
1.651999999999986102e+01,5.796678467765914444e-02
1.653999999999986059e+01,5.918208646378016191e-02
1.655999999999986017e+01,6.044166383894317152e-02
1.657999999999985974e+01,6.174772449397125662e-02
1.659999999999985931e+01,6.310261572821500298e-02
1.661999999999985889e+01,6.450883518800290539e-02
1.663999999999985846e+01,6.596904258193746207e-02
1.665999999999985803e+01,6.748607247600278691e-02
1.667999999999985761e+01,6.906294828382990303e-02
1.669999999999985718e+01,7.070289758152759063e-02
1.671999999999985675e+01,7.240936889247559516e-02
1.673999999999985633e+01,7.418605010570027136e-02
1.675999999999985590e+01,7.603688871224290047e-02
1.677999999999985548e+01,7.796611406770981301e-02
1.679999999999985505e+01,7.997826191642486149e-02
1.681999999999985462e+01,8.207820144385935546e-02
1.683999999999985420e+01,8.427116515995125567e-02
1.685999999999985377e+01,8.656278195733112246e-02
1.687999999999985334e+01,8.895911373627586605e-02
1.689999999999985292e+01,9.146669604351637117e-02
1.691999999999985249e+01,9.409258323615699027e-02
1.693999999999985207e+01,9.684439875648623297e-02
1.695999999999985164e+01,9.973039119026747001e-02
1.697999999999985121e+01,1.027594968824530192e-01
1.699999999999985079e+01,1.059414100029026778e-01
1.701999999999985036e+01,1.092866610939050437e-01
1.703999999999984993e+01,1.128067052951008259e-01
1.705999999999984951e+01,1.165140216346585988e-01
1.707999999999984908e+01,1.204222250041951242e-01
1.709999999999984865e+01,1.245461927062332802e-01
1.711999999999984823e+01,1.289022077858904269e-01
1.713999999999984780e+01,1.335081217440070023e-01
1.715999999999984738e+01,1.383835396906988868e-01
1.717999999999984695e+01,1.435500315533105586e-01
1.719999999999984652e+01,1.490313736221136054e-01
1.721999999999984610e+01,1.548538255273576580e-01
1.723999999999984567e+01,1.610464487258382316e-01
1.725999999999984524e+01,1.676414737761975360e-01
1.727999999999984482e+01,1.746747251534084278e-01
1.729999999999984439e+01,1.821861141628177139e-01
1.731999999999984396e+01,1.902202127507416907e-01
1.733999999999984354e+01,1.988269237854919658e-01
1.735999999999984311e+01,2.080622668473390002e-01
1.737999999999984269e+01,2.179893029108957159e-01
1.739999999999984226e+01,2.286792267818985314e-01
1.741999999999984183e+01,2.402126630972924448e-01
1.743999999999984141e+01,2.526812105591353386e-01
1.745999999999984098e+01,2.661892904479024602e-01
1.747999999999984055e+01,2.808563701591149653e-01
1.749999999999984013e+01,2.968196516328177048e-01
1.751999999999983970e+01,3.142373396164412358e-01
1.753999999999983928e+01,3.332926378245499865e-01
1.755999999999983885e+01,3.541986651853687440e-01
1.757999999999983842e+01,3.772045436715876776e-01
1.759999999999983800e+01,4.026029896803218766e-01
1.761999999999983757e+01,4.307398512101075494e-01
1.763999999999983714e+01,4.620261858709048264e-01
1.765999999999983672e+01,4.969536889095169108e-01
1.767999999999983629e+01,5.361145843550876311e-01
1.769999999999983586e+01,5.802275295910929165e-01
1.771999999999983544e+01,6.301717218677568288e-01
1.773999999999983501e+01,6.870323418538462068e-01
1.775999999999983459e+01,7.521618979086864831e-01
1.777999999999983416e+01,8.272642321606318294e-01
1.779999999999983373e+01,9.145114006826740027e-01
1.781999999999983331e+01,1.016709185712353580e+00
1.783999999999983288e+01,1.137536133346061185e+00
1.785999999999983245e+01,1.281896462690960137e+00
1.787999999999983203e+01,1.456454032024012912e+00
1.789999999999983160e+01,1.670462218126769205e+00
1.791999999999983118e+01,1.937089977030985510e+00
1.793999999999983075e+01,2.275593810217463098e+00
1.795999999999983032e+01,2.714923387228776797e+00
1.797999999999982990e+01,3.299635885182577777e+00
1.799999999999982947e+01,4.099040252311818122e+00
1.801999999999982904e+01,5.219405710076506111e+00
1.803999999999982862e+01,6.815149100515943914e+00
1.805999999999982819e+01,9.086698348110667567e+00
1.807999999999982776e+01,1.224270731034829218e+01
1.809999999999982734e+01,1.640387531044949299e+01
1.811999999999982691e+01,2.145278486107101656e+01
1.813999999999982649e+01,2.689341721807753061e+01
1.815999999999982606e+01,3.183830116148808287e+01
1.817999999999982563e+01,3.521884825080454817e+01
1.819999999999982521e+01,3.618107789878153113e+01
1.821999999999982478e+01,3.446521087289010410e+01
1.823999999999982435e+01,3.052946653150378253e+01
1.825999999999982393e+01,2.533412975555892999e+01
1.827999999999982350e+01,1.993066479339420383e+01
1.829999999999982307e+01,1.510485764288793042e+01
